id,text
624530031172153346,#ClimateChange #CC It ain't easy being green if you're a golf course in California.: Ulti... htt//t.co/La82RXzTs2 #UniteBlue #Tcot 
624530026566955008,@Mess0019 Well I am sure your work day is over before mine 
624530023391760384,@keikopotato IM GONNA MISS U SEXY PREXY ((((((((
624530020485038080,i miss my kindergarten kids 
624530020472455168,HUNGRY 
624530017649868801,cant find the only book that keeps me sane (
624530016798294016,Literally there are three lounge events why So much turn up I'm sad
624530014290243584,@carliot23 Miss you Boss 
624530013077897219,I love hozier 
624530012998397952,"@IzzyTailford that's true, I just want it soooooooner "
624530009781334016,Ahh Fam @MeekMill #RespectLost htt//t.co/NT25MYnGYd
624530000281235457,@shokako1104 I'm sorry ! What is hypercholesteloremia ? Are you ok ?
624529999069085697,Baby still looks tired 
624529997479452672,Can someone gift me calibraska 
624529980568023040,@Rico_Shabbir the massive shame about it is we would actually be genuine contenders but it won't happen 
624529977669619714,My head always hurts if I stay up late lmao 
624529974133833729,@ErnestLozoya how are u older than me 
624529973408174080,Backed out 
624529972061802497,u sound upset https/t.co/JZBFBKlQ
624529971311017984,So much misses https/t.co/pn2HvGdnFT
624529969398484992,I MISS INFINITE 
624529968144498688,@DiscoQing AoS doesn't do it for me but I don't want to stick with 8th either. 
624529967787872256,@madrigalandreaa its too much serious yun eh 
624529967511023617,My room is way too hot 
624529966689091584,I still havent found my Handsome Jack drawing (((
624529951736201218,@twcxmina shit 
624529945843249152,But cut encore ((( #bad4thwin
624529940034162688,I wish I had my own Baymax 
624529939073662976,Sick 
624529932346130433,@LittleMix French mixers miss you so much 💜
624529926675304448,Wft.. can't watch the awesome replay!! https/t.co/ChzrqtelPh
624529922669744128,@Viiiiiiiiev what happened?? ((
624529921608515584,Party promotions are over 
624529921579180033,Music bank encore always so short 
624529918613954560,BABY BOY (((
624529913064787968,@flipkartsupport my order has been received at the hub nearest but doesn't look like it will be delivered today (1/2)
624529912720924672,Why is my mum playing music out loud 
624529907771576320,The finale of Parasyte fucked my feelings alllllll the way up 
624529907113066496,i wish #ZaynIsComingBackOnJuly26
624529900674748417,Good bye Party era 
624529898502123520,@amedefu Me too。。。_´ω`」 ∠_
624529896623206400,@Concept_Nathan nathann💕 I never got a chance to take a pic with you got a hug tho! Pic next time I see you?😊
624529889962668032,"some girl came up to me and was like ""you are so beautiful "" I want to dieididieieiei she's so cute"
624529889085882368,Party goodbye stage but this means Hello to Lion Heart and You Think
624529888108761088,@MsDanneh @Obey_Ervin15 Tell her to screw herself. I'm gonna have a netflix and chill on my own. Y u do dis ervin 
624529885462040576,@subharrie ohh no ( and yeah i hope she comes back soon too
624529884652654593,@MadniTahir I am. I've accepted the offer..but im desperate to take the year out. 
624529884132601856,Come back 
624529882140286977,Snapchat me - AmargoLonnard #snapchat #snapchat #kikhorny #snapme #tagsforlikes #batalladelosgallos #webcamsex htt//t.co/3S9LHaFrsU
624529881104158720,UGH I CANT STREAM TMR I HAVE DUTY 
624529876268118021,@madrigalandreaa u've gone too far 
624529875173404672,@uhhAileeny What about her alien thing ((
624529872744902656,@Ni_All_Is_Bae aww I don't really wanna get my hopes up but I wish that he would (
624529870916349952,@malikm0ney sorka no (
624529862657744896,@fxnno_ i knew u would be sad were having a funeral i was gonna text u but i have no phone
624529861407674368,Sunny i feel so bad.... htt//t.co/17tca0uhKp
624529856722669568,So nonexistent wowza 
624529856106082304,@izgzb @aishahyussofff back off fah she's mine 
624529852507533312,@DIMPLEDJAI taylor why did you crop yourself out ((((((((((((((
624529851811139584,@nickjdrake Boo on both counts 
624529851723022336,new guitar 
624529849944637440,@PinkCloud_RP so when will i get my jonghyun hyung? please predict it 
624529849491656704,I hope SJ will be nominated soon but no SJ vs INFINITE pls ((((
624529846148792320,"Yeah dudes, keep calm and brace yourselves https/t.co/ZnOjT3v9Gq"
624529842730504192,@Mr_FRML sir plus 4 please (
624529840767569924,THEY LOOKED SO SHOCK OMGGGG (( YALL DESERVE IT (((
624529839286960128,Whenever I would spend the night we would smoke and watch a movie but he would always end up falling asleep on me 
624529839236583424,We were 1 point close to grand finals! whyyy
624529838632734720,@muhammadskates that's a long time
624529835285721088,"@evanquick Oh, that must be so annoying Evan Do the texts give the option to opt out?"
624529832219508737,Who's doing giveaways for muster goods? or any merchs
624529831678472197,@wendyykid ah too bad 
624529829740851201,People are looking at me funny because I'm drinking savanna with a straw 
624529823466045441,Good bye stage (((
624529822908219392,@ameliahartin AND WHY DID YOU IGNORE ME YESTER AFTERNOON 
624529815643648000,I can't sleep someone talk to me
624529814259499008,yeah 
624529813122846720,@_Birexus yes sadly .
624529811785031681,@ClaireClaire05 Very 
624529807754293248,@The_Strypes whens the album coming? 
624529807540289536,The last of my chocolate has been consumed. 
624529805828993024,ugh i have werk in the morning too 
624529802364481536,@Deedee_50Fly foreals a wesen uwesiti mj 😂😩
624529801492209664,@crazynovely I will if I catch him online long enough - haha! He's being very annoying!! 
624529800808378368,Bosen 
624529800800022528,Dying for some egg benny 
624529799344746496,@Michael5SOS Sometimes I hate you (
624529795754254337,@Mark23Baracael baby followback huhu 
624529794588364800,@fkluca but no ones as cute as u so 
624529792055033856,@Tinkkza You're gonna watch this shit and understand how badly you scared me! &gt( https/t.co/YcGudITQgx
624529789232222208,"I miss Al, Katie, Zaz and Amy a lot ("
624529788602986496,I liked a @YouTube video htt//t.co/2JcBiswDW9 More subs plz 
624529785524482048,@LittleMix @SonyMusicNL Can u make a diary while you're all there please (
624529784744185856,@neikmat Sorry 
624529779182706688,@twyodor @gkjohn I don't read most of these rehash websites that have mushroomed. A good piece may be by exception &am reaches one anyway.
624529776364011520,@daddyksoo and yes its been a while vicky omg ((((
624529775642566656,@megsyfoxie WTF LIKE YOUR LIPS STILL A VIRGIN OMG MOM GET A LIFE YOURE 45 Hahah : (
624529769418264576,@pastelwolfxx @CHA_NNNNN niNASTY tsktsk oppa wont like u call his dick kawaii he is manly &gt( htt//t.co3cUgt7qQ3
624529769393029120,So Lonely htt//t.co/VM4N0n8Bkw
624529767736451072,can't go back to sleep (
624529761591693312,i wanna go on xbox for netflix but am already too comfy in bed 
624529758215344128,@baileymac02 miss youu 
624529754696212480,sigh i feel bad for our girls 
624529751189901312,@oH_So_EhmTee lol! I love sweet potato fries 
624529750862643201,@_Birexus guess y'all ugly asf HUH 
624529750472704001,@Dsitando eish ive been quit i know...i lost my twitter mojo shame...n i dont know how to get it back mara im sure you can help me neh
624529750317404161,aww i've got a fever but #bad4thwin &lt;3
624529747091963904,Poor bb 
624529743464022017,@UrsulaWJ @OwenWinterMYP I'm not able to go! It's the Association of Green Councillors conference this weekend...
624529742855819264,My skype account is out of order. I think it's been hacked. So if you were in my contacts I'm sorry I'm creating a new one soon.
624529740683190272,@selenagomez i miss your tweet spree oh 
624529738208571396,"Yes na! As sholong reject my proposal ""@elzzika: Gee U don fly go gidi? ""@Gatlinho: The way i'm being pampered in this lagos ehn...."""""
624529735075303425,@isxbe i guess im arresting my girlfriend (
624529731371692033,@prophdog_ @attepate hes such a nice person idk why anybody would say that to him 
624529730000285696,You know when a song just disappears from your phone and iTunes? I've lost Dazed and Confused 
624529729320652800,FEVER. 
624529725222838272,"""Do you think they survived???""
""Well, they did find all the missing bodies in fragments, so no. But it would've been nice if they did."" "
624529724929261571,@DareToAttar im being forced to go 
624529723415228416,Horrible weather to be going to work in 
624529722869985280,@okayshesaid wish that both of us could change this 
624529717526335488,walao kbs never show encore 
624529716976816128,Sending. Finally!!!!!!!!!!!!!! 
624529712350666752,Being ill is the worst ((
624529712216305664,its not the same. ((((
624529707103559680,"Hope #DJDerek is found safe &am well had many fun times at his gigs, absolute legend "
624529704423260160,@qtbatooty_ yeah and it's like why do you need to wait till saturday to give us homework pa (((((( WHAT IF U MADE PLANS 4 DA WEEKEND????
624529694239641600,Greek Tragedy is such a cute song (((
624529692687622144,@bammyxoxo @stffnkthx @breeyanuh16 same 
624529690066337792,Raining on me today Gym it is then 💪🏻🐒
624529679869964288,@cutelilawley whats wrong? 
624529677986631684,Oh god!!! I'm strucked by the pain... Cant take it anymore!!! 
624529677646983169,@LittleMix come to Belgium 
624529674849234944,Fabian Delph has fallen @BLUEARMY_IND @MCFC
624529670999023617,@rosicky1987 WHERE U BEEN HIDING BABY (
624529670428475392,I'm draking silently so they can't hear it 
624529670235525120,Rest in peace mo 
624529665533849600,@MHSScho not much chance of game tonight #t20blast
624529660500647936,@OL_EYY ahhh u see? U wouldn't wake up 
624529657531121664,Mumma! Im on 7% @LMCDark_Angel
624529653747843072,@sarahhardman8 I hope so 
624529646428684288,I'm gonna be dead tomorrow :
624529645011140609,@_Dedox I'll do high you do low
624529641332588544,@hanbined sad pray for me ((
624529636337319937,@BritishSignBSL how very appropriate! 
624529636282793985,@RedsOrDead poor him. . . 
624529635619921920,I'm still awake 
624529627076136960,woke upp now i cant sleep 
624529622965841920,No one is up to help me 
624529622659534848,@curlsharryxoxo i don't know ( just be happy for him 
624529619954323456,"@blvsamx hi, can you do me some dms with luke please ?"
624529615986409473,@KanchuDarling @VidyutJammwal hey babe i just came across this pic..what is this about? I cant read hindi 
624529615462121472,their reactions ((((
624529610487640064,@junghoseoks 5s i think it's bc im running out of space tbh
624529606821875712,@rustyrockets I wish I could come and see you but on Disability pension with PTSD makes it impossible both physically and financially 
624529604796121088,Why does it have to rain 
624529600215912449,@Foooer_Hungary @FoooerSG nooo why they broke up!!! They were soo amazing togheter!! 
624529599943286784,@MystikGunn suck for me which mean I have to watch you play it around 1 p.m. my time 
624529589650374656,Don't be like that https/t.co/gaWf0bsr6A
624529585590284289,@derekklahn You cant hold another week? September 21st. (
624529583878967296,why they cut the encore i wanna see snsd infinite interaction 
624529582947856384,i miss watching anna akana videos 
624529580162949120,@tokyato askip t'existes pas 
624529579135381504,"@9_Moore Sadly not - the channel owner decides which regions it broadcasts to. Thanks, Kei. Please rate our se... https/t.co/EzfeHMTT5S"
624529574345469956,i dont think @camerondallas or @JackAndJackReal will ever notice me I STILL EXIST
624529569391972352,The traffic is terrible 
624529568867549186,@joaannelopez I've been eyeing on a small kate spade bag too! Pero walang maganda 
624529568506990594,"@mermaid_bl00d haha aw, I miss you too! Haven't seen you for agessss (("
624529566501961728,@energybiebers Sigh... 
624529564904095744,Add me on Snapchat - CorineHurleigh #snapchat #snapchatme #instagram #addmeonsnapchat #sfs #quote #kiksexting htt//t.cobk7ptaqaR
624529564606300160,I have no bum in Zara trousers 
624529561569525760,All these sushi pics on my tl are driving me craaaazzyy 
624529561422811136,My after effects not spanish 
624529561120862208,Aww the poor thing Hope it'okay and in good health. luckely it has been freed from those Rocks #orcalove https/t.co/tOSZMOafv6
624529560852258817,@Techverse_in first i tried this htt//t.co/XTSzpi9fQW but no result 
624529558293708801,I want my braces back! 
624529558180655104,I need a big cuddle from Lew and kisses on my face ((( I don't want to go through this again
624529555479400448,@xcrazy90skidx @kowtsnatinito @_patnicolexx ems haha 
624529552333602818,Craving for Banana Crumble McFlurry and Fries 
624529550802874368,We're not going on the cable cars now because my brother got scared and doesn't want to ((
624529546499375104,i miss hello venus's old concepts tbh i rly like do you want some tea 
624529545413029888,tagal 
624529543110328320,We've lost in album and broadcast points htt//t.co/QDSVS5Q9SR
624529538672824321,"i have this awful appointment tomorrow and i'd like to feel OK going in to it, since I won't be after it &gt("
624529534000369664,This sucks I want to go home 
624529533937577984,There's no milk left for my cereal 
624529532159172608,@shahrukh9899 @IamMansoorKhan Huh yes
624529530829451264,we lost at the album and broadcast (((
624529530598871040,So sad htt//t.co/fVV9Y3WX2o via @EvokeToday
624529529407696896,Everything and all 
624529528849739777,@RealLiamPaynePH follow me (
624529526090002432,"@sainsburys yeah, I tried to film the date at the start. At the time of filming it had 4 days left. "
624529525372661760,"@namwngr no, because you will get more than one and i think its not the same from the previous one "
624529522801520640,I can't smile 
624529520863903744,I'm following 73 users who aren't following me back. 
624529518212939776,when will got7 : (
624529513511260160,@craigyboi seems to be everywhere today 
624529512617738240,@OliviaKaparang @BTS_twt for the fansign and take photo is more expensive 
624529509052731392,Zzzzzz.....please don't let the sun come up yet.... 
624529504501772288,When your bff's extremely stressed and you can't do anything but pray... 
624529503876820992,ahh no win for the goodbye stage 
624529500986961920,"@st3cav @MCFC @sterling31 @YayaToure True, deosn't help that Liverpool were here last week, most have never been to Pool though "
624529499502194688,@ArunbuddyAP yes bro..lost many too 
624529497740607489,@JindalDaily praying for you all. So sorry this happened : (
624529497585512448,"@jackshilling Great news, thanks for letting us know We hope you have a good weekend!"
624529496331390976,@peachyIauren it's so fucked 
624529493848367104,@LocoTaii - My self esteem was on the lowest 
624529492837535745,"@RyanBitchTits they feel and look better where people can't see tbh
They look so tacky ("
624529491612712961,@fabssulli taken say 
624529491478622208,@ASVPxGABE man all I got is lucky charms (((
624529490274725889,"#Haaretz #Israel Syria continues to develop chemical weapons, officials tell WSJ: WSJ rep... htt//t.co/3c5PRCHKqw #UniteBlue #Tcot"
624529488160817152,i want all these bts merchs ((
624529488139976704,Only one more day 
624529485069594624,Should have taken a pic before mrs wong confiscated my art work 
624529484515930112,#Bad4thWin you guys omg (((((
624529484230840320,@mustntgrumble I hadn't thought of an icepack. Big doses of pain killers on board. But it is feeling very very painful already *whimpers*
624529483937099776,it's okay 
624529483656220673,@ABeezyGMT says the Man U fan 
624529483295535105,@BIBBYUPDATES ( I wish I could be there to say a final goodbye to them
624529482385219584,@_awkwardraven Will do Senpai &gt( -looks up on all of buttsex-
624529481034674176,.@sabal_abla @tanha_messiah But I was joking on the headline. So aren't we friends? Pls dn't brk my heart. 
624529475770777600,"When someone hits a head voice and I'm like ""I would sound amazing if I could do that too."" But no... I can only do falsettos "
624529474239922176,@Patrickcf26 NOTICE ME ((
624529473623306240,@versacelopez I hate our time zone 
624529469903106048,MY snapchat - LeanneRiner19 #snapchat #hornykik #loveofmylife #dmme #pussy #newmusic #sexo htt//t.co/TyhwG534Ng
624529468019843074,@DominionSyfy when will S2 be aired in Spain?? The delay is killing us... 
624529467197624320,@TheOnion @ChoKyungHoon82 not a single untruth here 
624529464358256640,My last cross country in IJ was amazing!!!!!!!💥✨💫 Can't bear to leave https/t.co/VkVOxIaEQn
624529448138854400,@_lizzy_kay I can't drive so 
624529445378850816,when I have my own little apartment can like someone come live with me 
624529443394990080,soshi didnt win ( buttt congrats infinite!! #bad4thwin
624529436872974336,@rickygervais I'm working Saturday and Sunday so Friday is a bad day for me 
624529429319000064,going home soon 
624529428555522048,I shoulda moved away w my boys when I had the chance cause they're the only people I want at times like this 
624529427364364288,Heyyyyy i wanted to see yeols solo danceeeeee (((((((((((((
624529419852492800,Inter offer Nemanja Vidic to Roma...but they don't want him either htt//t.co/Ksdgy0lTpF htt//t.co/FplKjpXNQN
624529416006209536,My mom's a linguist. My dad's a computer scientist. And I am the dumbest one in the family 
624529415192625152,@GizmodoUK broken for me I really wanted my morning ice cream in the pouring rain... htt//t.co/y9waxvQKpg
624529415129690112,@hankgreen would you ever consider creating crash course videos about computer science? There aren't many resources at my school 
624529412139155457,@Uber all ice cream vehicles are busy 
624529408871792640,ate ayex what do you eat? youre sexy (( — I swear I eat a lot. No chill lamon haha htt//t.co/CfOxw5wljZ
624529405390491648,"This weather has me scrolling through my contacts of people I've curved on some ""hey you 😉"" sigh* "
624529405340024836,so i'll be getting my cement cast tomorrow 
624529403620388865,Shit 10.3k???? ((((
624529401963622400,*sign out* ((((( https/t.co/y45q9GAJ5j
624529395663794176,@zaynmalik zayn (
624529395407962112,"(bot) If you follow me, plz send to me mention. Because I can't notice "
624529386591657984,these JMU camps are such a tease bc I just wanna be here now 
624529381772365824,"@mizznhee that's one of the sweetest things I've ever said, awuna mbulelo "
624529380522364928,This fucking bad link isn't working and I can't watch the match! 
624529374654668800,"Oh no Mr I Pigs not turning on although there's a weird crackling noise when I plug him in coming from the plug ,I'm thinking fuse?"
624529374163800067,@TitusOReily dammit I tipped Carlton #AFLBluesHawks
624529370833657856,@baileymac02 miss you 
624529366517719040,@jiministic go to bed 
624529364529483776,Am want to go Alex's house 
624529360431771648,@MotorsportCntrl @GP2_Official so true! This was part of a motorsport series (all on one disc) 
624529359131529216,"All I want right now is the A, followed by the D and a cheeky J after that

Instead I've got some SEO and some NLs to be getting on with "
624529355004207104,@BOYBANDSFTCARA sure!!! Sorry x
624529349140549636,@talkingsimpsons hey bud! Christy is really sick so I can't leave these 2 at home xo thanks man
624529346313764864,My niece is having a better summer then me 
624529344128503809,I just wanted a bloody sandwhich 
624529343029489664,@Whorgeee it is
624529342601637889,Buset https/t.co/hQ4y4FKniZ
624529336154992640,#Discrimination Five things we learned about pregnancy discrimination today | Left Foot F... htt//t.co/Ey9MmaSmsd #UniteBlue #Tcot
624529334762471424,"#Discrimination Maternity discrimination: When I needed my boss, he kicked me in teeth - ... htt//t.co/2WT4YyMNWz #UniteBlue #Tcot"
624529332736647168,#DomesticViolence Proposed New Law Will Help Domestic Violence Victims - 98FM: Victims ... htt//t.co/eoISmrzLpo #UniteBlue #VAW 
624529331381907456,@nnoonlight i missed you it was okay. lol. I did nothing. 😂
624529330392182784,@hamzaabasiali exactly but unfortunately 
624529324369125376,"Such a stressful and upsetting day yesterday, the UK government sucks "
624529324041854976,"Ugh, well I could still say that I'm lucky because I am Sapiosexual. ((("
624529323949707265,Aww too bad 
624529321605136384,Ive been trying to play the damn beta for like 12 hours now 
624529321319796737,I don't want to be in a world where Hulk Hogan has been scrubbed from WWE history 
624529320321519616,im so tired! 
624529318471974912,This weather isn't making me want to go to the gym at all..... 
624529318446821376,@katjturgoose @artsjobs Link doesn't work! 
624529317343526912,Irene seemed so sad after making that mistake 
624529317221937153,"@ItssssKelseyyyy Naa unfortunately, I didn't have my phone on me "
624529315175231488,@bmthofficial ITS SOLD OUT (((((((((((((((((((((((((((((((((((((((((((((((((((((((((
624529314353180672,i hate u &gt;.&lt; &gt( #H_My_King
624529313031852032,we lose again 
624529310804803584,"Valentine et al found r'ships btwn homo/biphobic comments &am certain disciplines - incl. European langs, lit, education #fresherstofinals"
624529309655396352,when will you notice me i'm so hopeless 💔 @SeaveyDaniel
624529308615319553,my dreams are gettin too realistic for my liking thx !!! cant tell whats real n what isnt (((
624529305796673536,@SidebySide either or but would prefer Benzema! We won't get any though 
624529300495159296,@dontvexmysoul hahahahahaah i donno korean language only few russian ) waaaaa
624529298972479488,@Grofers what about me? #EidWithGrofers
624529298032996352,Someone talk to me I'm boreddd 
624529296758034432,don't you just hate it when you get called a mug pisses me off &gt(
624529288495116288,"""@MgaPinoyPatama: I miss you, but I know you don’t care."" ("
624529285970325504,"@alexmcgraaa no I can't do it, don't have the option on my phone "
624529282816040961,"@CelestialSinn I love Tiddler, but that was really silly but at least we’ll be getting real new cards in like 1 hour.."
624529273164951552, well this sucks
624529271545987072,Infinite win 
624529265501966336,@SBS_MTV Are you sure that Chorong is the leader? #에이핑크 #더쇼 I can't be sure anymore 
624529262129721344,@ClashWithCam when will the clan slots be open (
624529261618139136,Pffff doing a private @Bugcrowd #bugbounty and only finding self-XSS and host header poisoning Need some code execution #ktksbye
624529249840443393,When your connect leaves a company and they don't alert you 
624529244492820480,.@uberuk you cancelled my ice cream uber order. Everyone else in the office got it but me. 
624529242890461185,"@Nebula2592 ahahah i consider it petite, i have a love hate relationship with my height "
624529242164834304,@therp_stefan @Therp_BV will cost you 600 k£ to get security alerts on odoo 8 if you are an Odoo partner. Far from community spirit. 
624529241153998848,jgh im so effin tired
624529239283494912,"facebook, y u no work ? y u do this facebook ? "
624529231339368448,No ones up (
624529210552365056,@TheNameIsJase No unfortunately Sorry!
624529209466204160,Anyone else's show box not working?!?!?
624529194958000128,AP won't be the same anymore 
624529191904673792,@llymlrs story of my life...!! Love London and can't imagine living elsewhere but it's gonna have to happen someday I have NO space!
624529189572640768,"@benrwms Oh no Ben That is terrible, please provide us with the name of the branch you visited. We would like to address your concern."
624529187181842433,Poor guy htt//t.co/aSq9NN4AXR
624529186775023616,"@elninakauser I feel your pain, It's like the Welsh Pod all over again "
624529181884321793,@buterasfredo i can't wait for the movie to come out 
624529174129188864,"@littlejules14 Hi Julie, I'm sorry you feel this way Whats happened? ^Laura"
624529174124826624,@maknaekookie i cant im still inside the train station waiting for the person ;_; home is another hour away 
624529172719779840,@vegemitegrier not anymore 
624529169033113600,@wendykims @Joix05 @GiladMillo some people need not to talk-kama hawako around Waa Kimaaaaaani prisssss!
624529149114347520,Baggage claim. The final goodbye to all your new plane friends 
624529149076602881,i miss niamh i havent seen her in forever 
624529148808048640,Yeah I screwed up again and this time I thought I did something good good
624529145926668288,@lifeboatsupport I have! 
624529144450256896,"@CherylWalmsley hmmm, they always have so much sugar in them, I rarely make them. Sorry I couldn't help. "
624529144051666944,I literally have no time to watch paper towns (
624529143997276160,@donhutch4 what's the score don I'm stuck at work 
624529142034337796,Agh @UPCIreland keeps cutting out in the middle of #undercoverboss 
624529139588968449,@CMPunk @MattJackson13 please please come back to wwe تكفى
624529138293063680,@cosplayamerica I'll be there around 10. My train was delayed. 
624529136095244288,Having a full time job means you only gonna have part time fun 
624529134522384384,My cats have forgotten who I am and they hate me 
624529133737918465,@vaxwell I know it's long and I played for 15 hours. 
624529130525192193,@NewBreed_Next u already have most of them 
624529124724449280,@Kryaotic117 @TritanArmyv2 @MoreConsole yep again 
624529124460097536,WHY MUST THE VIDEO STOP THO 
624529120018345984,wisdom teeth giving me so much ache (
624529119670308864,Y is no one up 
624529119322071041,my wrists feel so naked bc i forgot my watch &am bracelet (
624529115522072576,@diamaziing Did you ligo na? 
624529113911394305,The Day A Dozen Parents And Children Killed A Baby Shark For A Selfie https/t.co/S8cq6c91ni
624529110027481089,So this is Heartache? 
624529108714827776,I don't think so #zayniscomingback
624529103413248000,little mix are coming to sweden tomorrow and i can't see them im sad
624529097994059776,"my heart is breathing for this moment in time, i'll find the words to say before you leave me today "
624529094525460480,Elmhurst FC are over I'll always be #ETID
624529093912965120,Miss chillin'with you @PrincessReeev
624529093451776000,Forget to my Job. I'm sorry my father. 
624529089399930880,"@Scruffbucket IsTanya going2supply all d EXTRA infrastructure,teachers,doctors,nurses,paramedics&amother countless things2cope with it all?&gt("
624529084975026176,I liked a @YouTube video htt//t.co/93Z6WOVOs9 PASHA IS CRYING AFTER TERRIBLE DONATE 
624529083825844224,i'm so bored!!! pleas can 1 Arianator talk to me? 
624529080881299458,@Hydrojeon lmao hahahaha slr jgh from school (
624529080067715073,My live streaming sucks or is it just me 
624529079946096640,Kendall and Kylie are killing me on Kylie's snapchat ((((
624529072337518592,@MaayanGean absolute world to me I was so close to seeing him but he did not show up in manila i cried so fucking hard that time
624529061788950528,"@jmcefalas Jeebus. Reabsorbtion of tooth, abscess, threatening to affect my lovely front crown and OOOOOOOOUCH!!!"
624529055094738945,oh barney (
624529054578835457,Awh why were nice https/t.co/5zAwc5Z37J
624529049877094400,"Sometimes it be's like that, yo. Follow someone and then a few days later realise they're problematic as fuck. Life "
624529045141598208,THEY DIDNT EXPECT THAT OMG THEIR FACES (((( IM SO PROUD OF YOU INFINITE
624529043568746496,This day is such a mess! 
624529041425629184,I miss you maa why didn't you ever tell me its going to be like this without you?
624529040410460160,Help me 
